Wall time,Step,Value
1595475515.3619044,50,1.4061838388442993
1595475747.944327,150,1.384474754333496
1595475985.5859385,250,1.3357129096984863
1595476101.6457138,300,1.3180437088012695
1595476348.8660014,400,1.271674394607544
1595476568.7634017,500,1.2360318899154663
1595476687.0810242,550,1.2034755945205688
1595476802.7536507,600,1.1915918588638306
1595476924.8876014,650,1.1389026641845703
1595477052.5293171,700,1.2338978052139282
1595477167.6302068,750,1.19476318359375
1595477280.0977683,800,1.1921452283859253
1595477398.6855068,850,1.1818872690200806
1595477519.6131582,900,1.1435960531234741
1595477639.8193262,950,1.139530897140503
1595477750.7199225,1000,1.127701759338379
1595477871.8007789,1050,1.221177339553833
1595477984.4736798,1100,1.1805704832077026
1595478099.2711596,1150,1.1423542499542236
1595478216.5659802,1200,1.118315577507019
1595478334.529328,1250,1.0841293334960938
1595478577.1282334,1350,1.1623213291168213
1595478927.0637598,1500,1.1187859773635864
1595479050.8258405,1550,1.1128383874893188
1595479167.6246378,1600,1.134129285812378
1595479286.2644475,1650,1.0742816925048828
1595479398.5664225,1700,1.0987589359283447
1595479630.5482898,1800,1.1509031057357788
1595479990.822311,1950,1.1143009662628174
1595480110.2844746,2000,1.0834120512008667
1595480331.6100712,2100,1.0839523077011108
1595480451.1611657,2150,1.10199773311615
1595480571.1049736,2200,1.0791462659835815
1595480686.072033,2250,1.095747470855713
1595480802.4471686,2300,1.0664222240447998
1595480910.972982,2350,1.141768217086792
1595481129.8598459,2450,1.0948833227157593
1595481243.6930804,2500,1.1595571041107178
1595481583.2876096,2650,1.1054394245147705
1595481694.317766,2700,1.0618354082107544
1595481799.8242443,2750,1.0530444383621216
1595481916.950942,2800,1.0451478958129883
1595482043.422693,2850,1.1126282215118408
1595482379.8352585,3000,1.1330337524414062
1595482491.6710737,3050,1.1180155277252197
1595482604.7777088,3100,1.0957727432250977
1595482725.320948,3150,1.0460609197616577
1595482832.0956051,3200,1.0562231540679932
1595482950.7159083,3250,1.1670770645141602
1595483061.706069,3300,1.1212756633758545
1595483168.9714057,3350,1.094521164894104
1595483287.2356079,3400,1.0886667966842651
1595483412.9819722,3450,1.070824146270752
1595483637.2661388,3550,1.0292832851409912
1595483756.9492333,3600,1.1664317846298218
1595483870.3659492,3650,1.101275086402893
1595483992.197524,3700,1.0951107740402222
1595484226.3627138,3800,1.0335423946380615
1595484342.5160894,3850,1.0760574340820312
1595484455.4583218,3900,1.1484252214431763
1595484573.07942,3950,1.075829029083252
1595484799.8355715,4050,1.1336390972137451
1595484911.0349617,4100,1.0840506553649902
1595485136.9561708,4200,1.048849105834961
1595485254.5407734,4250,1.0224696397781372
1595485368.8139968,4300,1.0513875484466553
1595485480.0103185,4350,1.0470590591430664
1595485599.5286522,4400,1.0336098670959473
1595485708.7341957,4450,1.0095096826553345
1595485942.8325999,4550,1.0474520921707153
1595486061.2129753,4600,1.0948389768600464
1595486189.3491583,4650,1.233090877532959
1595486312.119983,4700,1.1005886793136597
1595486543.6158602,4800,1.0503990650177002
1595486661.9831996,4850,1.0339000225067139
1595486900.5442533,4950,1.1335183382034302
1595487012.374322,5000,1.1150890588760376
1595487127.954426,5050,1.0683088302612305
1595487241.9196005,5100,1.0284563302993774
1595487359.784864,5150,1.023627519607544
1595487476.833893,5200,1.0406039953231812
1595487596.8518116,5250,1.094333529472351
1595487717.1613715,5300,1.075286865234375
1595488075.7733715,5450,1.035658836364746
1595488201.8411522,5500,1.1380350589752197
1595488540.9939435,5650,1.060561180114746
1595488766.036345,5750,1.0473721027374268
1595488880.5660157,5800,1.052607536315918
1595488994.2304766,5850,1.0496394634246826
1595489109.8483722,5900,1.0422435998916626
1595489221.9726655,5950,1.0283879041671753
1595489341.8705251,6000,1.0142109394073486
1595489456.8858619,6050,1.0898903608322144
1595489678.124916,6150,1.0948835611343384
1595489796.307189,6200,1.0640677213668823
1595489913.4392517,6250,1.03450608253479
1595490028.2868042,6300,1.135895848274231
1595490140.8656642,6350,1.079452633857727
1595490374.7000878,6450,1.0816737413406372
1595490497.4281237,6500,1.054456353187561
1595490844.228053,6650,1.0877267122268677
1595490960.3087788,6700,1.0124759674072266
1595491189.5600324,6800,1.0098408460617065
1595491299.1278203,6850,1.005240797996521
1595491523.5254297,6950,1.078913688659668
1595491751.769101,7050,1.0380092859268188
1595491869.6578655,7100,1.0387688875198364
1595491986.5690672,7150,1.0183899402618408
1595492097.5424414,7200,1.0857447385787964
1595492213.5467033,7250,1.1920832395553589
1595492332.045013,7300,1.089723825454712
1595492548.2777157,7400,1.0472543239593506
1595492657.5728157,7450,1.0440881252288818
1595492764.9279256,7500,1.0383001565933228
1595492879.9710133,7550,1.0055052042007446
1595493110.2335885,7650,1.0787231922149658
1595493223.3120463,7700,1.0712438821792603
1595493334.7512236,7750,1.0853625535964966
1595493561.8341274,7850,1.0190778970718384
1595493667.032444,7900,1.007583498954773
1595493782.9056787,7950,1.0992034673690796
1595494014.931295,8050,1.0399787425994873
1595494124.1072268,8100,1.0200400352478027
1595494363.8088102,8200,1.0584465265274048
1595494483.626173,8250,1.0467722415924072
1595494705.1023064,8350,1.079018473625183
1595494822.9722807,8400,1.0453695058822632
1595494941.5522623,8450,1.0059973001480103
1595495172.9147046,8550,1.0083147287368774
1595495291.68891,8600,1.0371370315551758
1595495401.9947898,8650,1.0175198316574097
1595495624.9454896,8750,1.0007917881011963
1595495737.7775016,8800,1.0810434818267822
1595495856.300752,8850,1.0759440660476685
1595495978.1731148,8900,1.0310651063919067
1595496208.3670702,9000,1.0298268795013428
1595496322.2374876,9050,1.0279265642166138
1595496442.5662472,9100,0.9635723829269409
1595496562.4553432,9150,1.0043981075286865
1595496683.0410964,9200,1.1376277208328247
1595496802.0370116,9250,1.065333366394043
1595496919.0729406,9300,1.069621205329895
1595497038.8620868,9350,1.0395581722259521
1595497164.0129118,9400,1.0481364727020264
1595497405.9266715,9500,1.0121312141418457
1595497519.2005632,9550,0.9919961094856262
1595497862.7292204,9700,1.0505475997924805
1595498321.7703464,9900,1.092588186264038
1595498437.6594734,9950,1.0200501680374146
1595498669.2038774,10050,1.1108144521713257
1595498776.5708992,10100,1.0473949909210205
1595498887.4858053,10150,1.070873498916626
1595499108.0735443,10250,1.093123435974121
1595499218.7015152,10300,1.0495785474777222
1595499328.9873245,10350,1.0431314706802368
1595499442.2168148,10400,1.0397343635559082
1595499555.9904523,10450,1.0269742012023926
1595499907.873905,10600,0.9709278345108032
1595500015.2313185,10650,1.0229456424713135
1595500137.8016818,10700,1.0483025312423706
1595500257.6990345,10750,0.9871012568473816
1595500609.9616435,10900,1.0019155740737915
1595500718.1735313,10950,1.013677954673767
1595500834.2189724,11000,1.0440220832824707
1595500946.9257736,11050,0.9937900900840759
1595501053.4664207,11100,0.979584813117981
1595501169.755476,11150,0.989389181137085
1595501392.7971406,11250,1.090415596961975
1595501509.9328318,11300,1.135729432106018
1595501624.3146658,11350,1.0447593927383423
1595501847.6801891,11450,1.0134202241897583
1595501964.629077,11500,1.076071858406067
1595502082.4659326,11550,1.06440269947052
1595502199.6865296,11600,1.0245486497879028
1595502317.7172065,11650,1.018731713294983
1595502425.5950892,11700,1.0379490852355957
1595502531.3598151,11750,1.0128860473632812
1595502755.7236574,11850,1.0779573917388916
1595502864.1554737,11900,1.0877959728240967
1595503095.1346564,12000,1.0185070037841797
1595503210.0660636,12050,1.0249249935150146
1595503318.6830513,12100,0.9812105298042297
1595503564.3944821,12200,1.0683374404907227
1595503678.1681767,12250,1.0938702821731567
1595503782.0003705,12300,1.0421679019927979
1595503884.0893533,12350,1.066159963607788
1595504004.7722256,12400,1.0633832216262817
1595504120.673091,12450,1.0133126974105835
1595504228.4160228,12500,0.9940767884254456
1595504336.1550932,12550,0.99251389503479
1595504453.645983,12600,1.0631765127182007
1595504565.449486,12650,1.0107648372650146
1595504672.9487936,12700,1.0078922510147095
1595504787.0455744,12750,1.155313491821289
1595505132.7602477,12900,1.0228978395462036
1595505244.3605998,12950,1.0038838386535645
1595505360.5141246,13000,0.995256781578064
1595505474.4387891,13050,1.0132794380187988
1595505707.320954,13150,1.0659120082855225
1595505931.8559103,13250,0.9933523535728455
1595506163.586295,13350,1.089309573173523
1595506393.9895916,13450,1.0325381755828857
1595506616.5746899,13550,1.022504210472107
1595506725.4797542,13600,0.9809227585792542
1595506839.5965366,13650,1.002294898033142
1595506948.1263807,13700,0.9851182103157043
1595507057.6082234,13750,0.9939097166061401
