Wall time,Step,Value
1595475515.3622704,50,44.99787521362305
1595475747.9448195,150,44.303138732910156
1595475985.586295,250,42.73820114135742
1595476101.646233,300,42.166664123535156
1595476348.8663669,400,40.66496658325195
1595476568.7637622,500,39.51947021484375
1595476687.0814025,550,38.49046325683594
1595476802.754026,600,38.11055374145508
1595476924.8881292,650,36.422969818115234
1595477052.5297022,700,39.44635772705078
1595477167.6305914,750,38.20938491821289
1595477280.098118,800,38.13011932373047
1595477398.6857195,850,37.79166030883789
1595477519.613521,900,36.573280334472656
1595477639.8197389,950,36.445587158203125
1595477750.720287,1000,36.06245803833008
1595477871.801251,1050,39.05315399169922
1595477984.4740162,1100,37.757171630859375
1595478099.2715137,1150,36.51341247558594
1595478216.5663478,1200,35.76789093017578
1595478334.5296986,1250,34.67194366455078
1595478577.128586,1350,37.170166015625
1595478927.0641212,1500,35.78605270385742
1595479050.8262439,1550,35.59107208251953
1595479167.6250157,1600,36.270938873291016
1595479286.2647922,1650,34.35613250732422
1595479398.5668204,1700,35.14006423950195
1595479630.5486376,1800,36.80078125
1595479990.822706,1950,35.63469314575195
1595480110.2848163,2000,34.63246536254883
1595480331.610412,2100,34.66584014892578
1595480451.161687,2150,35.23722457885742
1595480571.1053624,2200,34.51372528076172
1595480686.0723927,2250,35.040069580078125
1595480802.4475245,2300,34.10216522216797
1595480910.973359,2350,36.50778579711914
1595481129.8601892,2450,35.01347351074219
1595481243.6934175,2500,37.071495056152344
1595481583.2879462,2650,35.346107482910156
1595481694.3182688,2700,33.959022521972656
1595481799.8246021,2750,33.676631927490234
1595481916.9512978,2800,33.426639556884766
1595482043.4230378,2850,35.58456039428711
1595482379.8356423,3000,36.20623016357422
1595482491.6714153,3050,35.74800109863281
1595482604.7780464,3100,35.039913177490234
1595482725.3212786,3150,33.45372009277344
1595482832.0959518,3200,33.77707290649414
1595482950.7162445,3250,37.3145866394043
1595483061.7064598,3300,35.851905822753906
1595483168.9717734,3350,34.97822952270508
1595483287.235953,3400,34.81499481201172
1595483412.982317,3450,34.24887466430664
1595483637.2664926,3550,32.91799545288086
1595483756.9495695,3600,37.30288314819336
1595483870.3664405,3650,35.21539306640625
1595483992.1978683,3700,35.01783752441406
1595484226.3630579,3800,33.05636215209961
1595484342.5164783,3850,34.410743713378906
1595484455.4586995,3900,36.72288513183594
1595484573.079763,3950,34.40263366699219
1595484799.8360348,4050,36.25050354003906
1595484911.0352988,4100,34.651817321777344
1595485136.9565525,4200,33.539085388183594
1595485254.5411203,4250,32.698360443115234
1595485368.814321,4300,33.61941146850586
1595485480.0107307,4350,33.48043441772461
1595485599.5290444,4400,33.05131530761719
1595485708.7345946,4450,32.28099060058594
1595485942.8329365,4550,33.49433517456055
1595486061.2133136,4600,35.01056671142578
1595486189.3495688,4650,39.41461181640625
1595486312.1203783,4700,35.19025802612305
1595486543.6162522,4800,33.59223556518555
1595486661.9834228,4850,33.062965393066406
1595486900.5446095,4950,36.23136520385742
1595487012.3747013,5000,35.655941009521484
1595487127.9548006,5050,34.157440185546875
1595487241.9199462,5100,32.88810348510742
1595487359.785255,5150,32.73375701904297
1595487476.8342218,5200,33.2777214050293
1595487596.8520207,5250,34.995399475097656
1595487717.1617212,5300,34.382205963134766
1595488075.7737694,5450,33.12230682373047
1595488201.8415294,5500,36.386268615722656
1595488540.9942963,5650,33.909912109375
1595488766.0366614,5750,33.48698806762695
1595488880.56645,5800,33.65865707397461
1595488994.2308688,5850,33.55023956298828
1595489109.848786,5900,33.32646560668945
1595489221.973091,5950,32.88315963745117
1595489341.8709476,6000,32.4342041015625
1595489456.8861165,6050,34.84709548950195
1595489678.1252236,6150,35.00239562988281
1595489796.3076415,6200,34.01681900024414
1595489913.4396317,6250,33.083919525146484
1595490028.2872605,6300,36.322288513183594
1595490140.8658583,6350,34.50830078125
1595490374.7004833,6450,34.57801818847656
1595490497.4285731,6500,33.71562957763672
1595490844.2283921,6650,34.77325439453125
1595490960.3091323,6700,32.37587356567383
1595491189.5603752,6800,32.291194915771484
1595491299.128273,6850,32.14291000366211
1595491523.525745,6950,34.4913215637207
1595491751.7694466,7050,33.192047119140625
1595491869.6582687,7100,33.206451416015625
1595491986.5694711,7150,32.564571380615234
1595492097.542912,7200,34.703773498535156
1595492213.547091,7250,38.118316650390625
1595492332.0453534,7300,34.84199523925781
1595492548.2781138,7400,33.47651672363281
1595492657.573124,7450,33.37223815917969
1595492764.9283226,7500,33.19178009033203
1595492879.9716206,7550,32.15082931518555
1595493110.2339468,7650,34.488338470458984
1595493223.312376,7700,34.24483871459961
1595493334.7515461,7750,34.69596862792969
1595493561.8344896,7850,32.5863037109375
1595493667.0328054,7900,32.22126770019531
1595493782.9061449,7950,35.139583587646484
1595494014.9317377,8050,33.2436637878418
1595494124.10764,8100,32.613861083984375
1595494363.8091264,8200,33.838314056396484
1595494483.6265864,8250,33.46985626220703
1595494705.102686,8350,34.47623062133789
1595494822.9726396,8400,33.41873550415039
1595494941.5526052,8450,32.15978240966797
1595495172.9151123,8550,32.243587493896484
1595495291.6891248,8600,33.15740966796875
1595495401.9951315,8650,32.53358459472656
